execution_order,family,instance,method,n,repeat,seconds,seed
second,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,0,6.378568207990611,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,1,6.268757417012239,51
second,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,2,6.267433291010093,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,0,0.08741320899571292,51
second,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,1,0.08156858300208114,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,2,0.0811056669917889,51
first,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,0,6.053046291985083,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,1,6.02700541599188,52
first,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,2,6.043050749984104,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,0,0.08139570799539797,52
first,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,1,0.08171445797779597,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,2,0.08161074999952689,52
second,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,0,17.160462124971673,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,1,17.288101666985312,51
second,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,2,17.12429395801155,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,0,0.1912107499956619,51
second,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,1,0.1912233750044834,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,2,0.19067012501182035,51
first,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,0,17.555480625014752,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,1,17.89270141700399,52
first,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,2,17.582001499977196,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,0,0.19092245801584795,52
first,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,1,0.19073204201413319,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,2,0.1978507910098415,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,0,43.054439874977106,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,1,41.790496208996046,51
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,2,42.09216837500571,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,0,0.4564465410076082,51
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,1,0.46338879101676866,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,2,0.4597923749824986,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,0,44.40414458300802,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,1,43.58813554098015,52
first,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,2,43.51964895799756,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,0,0.46333587501430884,52
first,dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,1,0.46187266599736176,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,2,0.4633386670029722,52
second,correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,0,3.353907833021367,51
first,correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,1,3.3165479169983882,51
second,correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,2,3.308720416011056,51
first,correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,0,0.11636329197790474,51
second,correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,1,0.11656900000525638,51
first,correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,2,0.11594829199020751,51
first,correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,0,4.287127874995349,52
second,correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,1,4.278827000001911,52
first,correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,2,4.265798541018739,52
second,correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,0,0.1128386250056792,52
first,correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,1,0.11173662499641068,52
second,correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,2,0.11214241699781269,52
second,correlated_risk,correlated_risk_n720_m6_g26_s51,compressed,720,0,8.958257458987646,51
first,correlated_risk,correlated_risk_n720_m6_g26_s51,compressed,720,1,8.982248707994586,51
second,correlated_risk,correlated_risk_n720_m6_g26_s51,compressed,720,2,9.077951790997759,51
first,correlated_risk,correlated_risk_n720_m6_g26_s51,clique,720,0,0.2801857080194168,51
second,correlated_risk,correlated_risk_n720_m6_g26_s51,clique,720,1,0.28000862497719936,51
first,correlated_risk,correlated_risk_n720_m6_g26_s51,clique,720,2,0.2783120000094641,51
first,correlated_risk,correlated_risk_n720_m6_g26_s52,compressed,720,0,18.750697874987964,52
second,correlated_risk,correlated_risk_n720_m6_g26_s52,compressed,720,1,18.81459837500006,52
first,correlated_risk,correlated_risk_n720_m6_g26_s52,compressed,720,2,19.008589832985308,52
second,correlated_risk,correlated_risk_n720_m6_g26_s52,clique,720,0,0.2847980840015225,52
first,correlated_risk,correlated_risk_n720_m6_g26_s52,clique,720,1,0.2816129589919001,52
second,correlated_risk,correlated_risk_n720_m6_g26_s52,clique,720,2,0.28509749998920597,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s51,compressed,1440,0,41.7136563329841,51
first,correlated_risk,correlated_risk_n1440_m6_g37_s51,compressed,1440,1,41.92190149999806,51
second,correlated_risk,correlated_risk_n1440_m6_g37_s51,compressed,1440,2,41.655504916998325,51
first,correlated_risk,correlated_risk_n1440_m6_g37_s51,clique,1440,0,0.7053889160160907,51
second,correlated_risk,correlated_risk_n1440_m6_g37_s51,clique,1440,1,0.7022708330187015,51
first,correlated_risk,correlated_risk_n1440_m6_g37_s51,clique,1440,2,0.7016871249943506,51
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,0,29.12481999999727,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,1,29.140866833011387,52
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,2,29.5945780420152,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,0,0.7783241659926716,52
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,1,0.7823969169985503,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,2,0.778991875005886,52
second,near_tie,near_tie_n360_m6_g18_s51,compressed,360,0,5.319256083021173,51
first,near_tie,near_tie_n360_m6_g18_s51,compressed,360,1,5.449034874996869,51
second,near_tie,near_tie_n360_m6_g18_s51,compressed,360,2,5.341108624998014,51
first,near_tie,near_tie_n360_m6_g18_s51,clique,360,0,0.08208345901221037,51
second,near_tie,near_tie_n360_m6_g18_s51,clique,360,1,0.08343741702265106,51
first,near_tie,near_tie_n360_m6_g18_s51,clique,360,2,0.08332133301883005,51
first,near_tie,near_tie_n360_m6_g18_s52,compressed,360,0,5.124289250001311,52
