execution_order,family,instance,method,n,repeat,seconds,seed
second,near_tie,near_tie_n360_m6_g18_s52,compressed,360,1,5.140441333991475,52
first,near_tie,near_tie_n360_m6_g18_s52,compressed,360,2,5.127312917000381,52
second,near_tie,near_tie_n360_m6_g18_s52,clique,360,0,0.081583999999566,52
first,near_tie,near_tie_n360_m6_g18_s52,clique,360,1,0.08074616699013859,52
second,near_tie,near_tie_n360_m6_g18_s52,clique,360,2,0.08106208298704587,52
second,near_tie,near_tie_n720_m6_g26_s51,compressed,720,0,13.367489833006402,51
first,near_tie,near_tie_n720_m6_g26_s51,compressed,720,1,13.369002166989958,51
second,near_tie,near_tie_n720_m6_g26_s51,compressed,720,2,13.396954666997772,51
first,near_tie,near_tie_n720_m6_g26_s51,clique,720,0,0.19057850001263432,51
second,near_tie,near_tie_n720_m6_g26_s51,clique,720,1,0.19126750002033077,51
first,near_tie,near_tie_n720_m6_g26_s51,clique,720,2,0.1904998749960214,51
first,near_tie,near_tie_n720_m6_g26_s52,compressed,720,0,15.48796537501039,52
second,near_tie,near_tie_n720_m6_g26_s52,compressed,720,1,15.54484175000107,52
first,near_tie,near_tie_n720_m6_g26_s52,compressed,720,2,15.4402280409995,52
second,near_tie,near_tie_n720_m6_g26_s52,clique,720,0,0.18476099998224527,52
first,near_tie,near_tie_n720_m6_g26_s52,clique,720,1,0.1834349170094356,52
second,near_tie,near_tie_n720_m6_g26_s52,clique,720,2,0.18406766702537425,52
second,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,0,34.16646220898838,51
first,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,1,34.29749145900132,51
second,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,2,34.495090375014115,51
first,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,0,0.4514781249745283,51
second,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,1,0.45384887501131743,51
first,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,2,0.45266545898630284,51
first,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,0,47.25894525001058,52
second,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,1,47.180114124988904,52
first,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,2,46.87706933301524,52
second,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,0,0.43135145801352337,52
first,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,1,0.4299873339768965,52
second,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,2,0.4356174580170773,52
