construct_seconds,execution_order,family,instance,method,n,query_seconds,repeat,seed,total_seconds
0.005647750018397346,first,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.008917541999835521,0,21,0.014616458996897563
0.0776647090096958,second,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0019633749907370657,0,21,0.07964774998254143
0.0776888330001384,first,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.002009916992392391,1,21,0.07971595801063813
0.005452000012155622,second,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.008752540976274759,1,21,0.014246042002923787
0.005490625015227124,first,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.008473374997265637,2,21,0.014002208015881479
0.07773645798442885,second,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0020193340023979545,2,21,0.0797699169779662
0.07709720800630748,first,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0022017919982317835,3,21,0.0793154579878319
0.005239874997641891,second,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.008725249994313344,3,21,0.014003958000103012
0.0052602920040953904,first,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.008787875005509704,4,21,0.014085458009503782
0.07788395800162107,second,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0020054169872310013,4,21,0.07990358301321976
0.07747341701178811,first,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.001992125005926937,0,22,0.07948024998768233
0.005265916988719255,second,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.008836541004711762,0,22,0.014140250015771016
0.0054202909814193845,first,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.00862966600107029,1,22,0.01408608301426284
0.07747429198934697,second,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.0019906660018023103,1,22,0.0794795410183724
0.07769016700331122,first,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.002099249977618456,2,22,0.07980475001386367
0.005187667004065588,second,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.008873832994140685,2,22,0.014100707980105653
0.005169540992937982,first,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.00886766702751629,3,22,0.014074792008614168
0.07778545800829306,second,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.001987291994737461,3,22,0.07978704199194908
0.07794120800099336,first,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.002023249980993569,4,22,0.07997833300032653
0.005252457980532199,second,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.008992874994874,4,22,0.014291250001406297
