all_compressed_bounds_certified,clique_matrix_nnz,clique_matrix_storage_bytes,clique_seconds,clique_solver_iterations,compressed_bound_le_clique_rate,compressed_seconds,family,instance,intervals,maximum_compressed_certificate_gap,maximum_compressed_scaled_certificate_gap,n,seed,speedup,theta_count
True,46597,579408,0.08156858300208114,5680,1.0,6.268757417012239,dense_frontier,dense_frontier_n360_m6_g18_s51,7,8.10034525784431e-05,9.405400859541965e-09,360,51,0.013011922072581596,26
True,46597,579408,0.08161074999952689,5760,1.0,6.043050749984104,dense_frontier,dense_frontier_n360_m6_g18_s52,7,8.114158663374837e-05,9.441931191383368e-09,360,52,0.013504892375716282,26
True,93179,1158552,0.1912107499956619,11215,1.0,17.160462124971673,dense_frontier,dense_frontier_n720_m6_g26_s51,7,0.00016184686683118343,9.410990650455985e-09,720,51,0.011142517526810341,26
True,93180,1158564,0.19092245801584795,11624,1.0,17.582001499977196,dense_frontier,dense_frontier_n720_m6_g26_s52,7,0.00016214523566304706,9.434146461229496e-09,720,52,0.010858971773839035,26
True,186343,2316840,0.4597923749824986,22847,1.0,42.09216837500571,dense_frontier,dense_frontier_n1440_m6_g37_s51,7,0.000322492174746003,9.386017135248815e-09,1440,51,0.010923466115742396,26
True,186343,2316840,0.46333587501430884,22423,1.0,43.58813554098015,dense_frontier,dense_frontier_n1440_m6_g37_s52,7,0.0003255315241403878,9.482772891159845e-09,1440,52,0.010629862215113457,26
True,46547,578808,0.11636329197790474,7401,1.0,3.3165479169983882,correlated_risk,correlated_risk_n360_m6_g18_s51,7,5.0015411943604704e-05,6.656949201716882e-09,360,51,0.035085665845955356,26
True,46373,576720,0.11214241699781269,6885,1.0,4.278827000001911,correlated_risk,correlated_risk_n360_m6_g18_s52,7,5.037589198764181e-05,6.678515538184295e-09,360,52,0.02620868219204997,25
True,93097,1157568,0.28000862497719936,13241,1.0,8.982248707994586,correlated_risk,correlated_risk_n720_m6_g26_s51,7,9.966513425752055e-05,6.604885586289819e-09,720,51,0.03117355509517118,26
True,93122,1157868,0.2847980840015225,13226,1.0,18.81459837500006,correlated_risk,correlated_risk_n720_m6_g26_s52,7,0.00010069685595226474,6.705870573367297e-09,720,52,0.015137080171743054,26
True,186171,2314776,0.7022708330187015,25297,1.0,41.7136563329841,correlated_risk,correlated_risk_n1440_m6_g37_s51,7,0.00019829886878142133,6.613801406363173e-09,1440,51,0.016835513708334342,26
True,186116,2314116,0.778991875005886,26200,1.0,29.140866833011387,correlated_risk,correlated_risk_n1440_m6_g37_s52,7,0.00019840538516291417,6.614505300649595e-09,1440,52,0.026731939014368218,26
True,46591,579336,0.08332133301883005,5960,1.0,5.341108624998014,near_tie,near_tie_n360_m6_g18_s51,7,5.9675252487068065e-05,9.252238086326996e-09,360,51,0.015600007202411283,26
True,46591,579336,0.08106208298704587,5795,1.0,5.127312917000381,near_tie,near_tie_n360_m6_g18_s52,7,6.091731847845949e-05,9.461066831307952e-09,360,52,0.01580985680009353,26
True,93175,1158504,0.19057850001263432,11399,1.0,13.369002166989958,near_tie,near_tie_n720_m6_g26_s51,7,0.00012163275277998764,9.427848892304171e-09,720,51,0.014255252383996227,26
True,93175,1158504,0.18406766702537425,11006,1.0,15.48796537501039,near_tie,near_tie_n720_m6_g26_s52,7,0.00011981077113887295,9.325388774851392e-09,720,52,0.011884560855382902,26
True,186343,2316840,0.45266545898630284,22647,1.0,34.29749145900132,near_tie,near_tie_n1440_m6_g37_s51,7,0.0002471532679919619,9.607820716037616e-09,1440,51,0.013198208957276423,26
True,186343,2316840,0.43135145801352337,20529,1.0,47.180114124988904,near_tie,near_tie_n1440_m6_g37_s52,7,0.0002487427700543776,9.672307958896774e-09,1440,52,0.009142653976435773,26
