family,groups,seed,envelope_seconds,envelope_status,envelope_certified,envelope_objective,envelope_upper_bound,envelope_relative_gap,envelope_nodes,envelope_theta_integer_solves,envelope_interval_bound_evaluations,envelope_interval_splits,envelope_thresholds_covered_by_prunes,clique_seconds,clique_status,clique_certified,clique_objective,clique_upper_bound,clique_relative_gap,clique_nodes,clique_theta_integer_solves,clique_interval_bound_evaluations,clique_interval_splits,clique_thresholds_covered_by_prunes,enumeration_seconds,enumeration_status,enumeration_certified,enumeration_objective,enumeration_upper_bound,enumeration_relative_gap,enumeration_nodes,enumeration_theta_integer_solves,enumeration_interval_bound_evaluations,enumeration_interval_splits,enumeration_thresholds_covered_by_prunes,scip_seconds,scip_status,scip_certified,scip_objective,scip_upper_bound,scip_relative_gap,scip_nodes,scip_theta_integer_solves,scip_interval_bound_evaluations,scip_interval_splits,scip_thresholds_covered_by_prunes,clique_over_envelope_speedup,enumeration_over_envelope_speedup,scip_over_envelope_speedup,maximum_certified_objective_difference
dense_frontier,30,0,0.8079086454963544,optimal,True,732.3416010978427,732.3416010978427,0.0,93,6,11,5,23,0.4065883125003893,optimal,True,732.3416010978427,732.3416010978427,0.0,93,6,11,5,23,0.4460304160020314,optimal,True,732.3416010978427,732.3416010978427,0.0,93,3,0,0,23,0.06436772899178322,optimal,True,732.3416010978427,732.3416010978427,0.0,1,0,0,0,0,0.5032602569200059,0.5520802611636912,0.07967203885067681,0.0
dense_frontier,30,1,0.6971597289957572,optimal,True,731.600839350222,731.600839350222,0.0,62,5,11,5,24,0.2854917914955877,optimal,True,731.600839350222,731.600839350222,0.0,62,5,11,5,24,0.33119697899383027,optimal,True,731.600839350222,731.600839350222,0.0,62,2,0,0,24,0.0180671040143352,optimal,True,731.600839350222,731.600839350222,0.0,1,0,0,0,0,0.4095070033761591,0.47506613652356544,0.02591530070212239,0.0
dense_frontier,30,2,1.63543087450671,optimal,True,729.9722532955037,729.9722532955037,0.0,181,8,18,9,20,0.8756532499974128,optimal,True,729.9722532955037,729.9722532955037,0.0,181,8,18,9,20,0.8730520834942581,optimal,True,729.9722532955037,729.9722532955037,0.0,181,4,0,0,21,0.15831089549465105,optimal,True,729.9722532955037,729.9722532955037,0.0,0,0,0,0,0,0.5354266350520828,0.5338361266767659,0.0968007257062466,0.0
correlated_risk,30,0,5.003096937507507,time_limit,False,623.6122954877949,626.9627545725865,0.005372663606914398,1198,2,1,0,0,5.002669312510989,time_limit,False,623.6122954877949,635.8158509445426,0.019569138621941373,1168,2,1,0,0,5.002890125004342,time_limit,False,624.0644169778986,625.5681539979329,0.0024037940717154945,1214,0,0,0,0,4.348339478994603,optimal,True,625.3359259271575,625.3359259271575,0.0,11491,0,0,0,0,0.9999145279410213,0.9999586631029243,0.8691295678074353,0.0
correlated_risk,30,1,4.60580091700831,optimal,True,631.8331448419336,631.8331448419336,0.0,1170,4,9,4,15,4.359391812002286,optimal,True,631.8331448419336,631.8331448419336,0.0,1170,4,11,5,15,0.7709412914991844,optimal,True,631.8331448419336,631.8331448419336,0.0,166,1,0,0,15,0.6778804999921704,optimal,True,631.8331448419336,631.8331448419337,0.0,75,0,0,0,0,0.9465002701058824,0.16738484910458268,0.14717972231254983,0.0
correlated_risk,30,2,5.004317437502323,time_limit,False,628.3054581572769,630.9108600161392,0.004146712120731043,1349,2,1,0,0,5.003343979013152,time_limit,False,628.3054581572769,639.4398787527186,0.01772134946606586,1351,2,1,0,0,5.001750854004058,time_limit,False,628.3054581572769,629.7349431289415,0.0022699788018145342,1362,0,0,0,0,1.324874166486552,optimal,True,629.6610215931211,629.6610215931211,0.0,1334,0,0,0,0,0.9998054762709745,0.9994871261604968,0.26474622823843136,0.0
near_tie,30,0,1.5705373125092592,optimal,True,528.7264751809771,528.7264751809771,0.0,147,8,22,11,20,0.6341864165005973,optimal,True,528.7264751809771,528.7264751809771,0.0,147,8,22,11,20,0.6366477709962055,optimal,True,528.7264751809771,528.7264751809771,0.0,147,3,0,0,20,1.6942298335052328,optimal,True,528.7264751809771,528.7264751809771,0.0,25,0,0,0,0,0.40380219651537785,0.40536940187624615,1.0787580912664527,0.0
near_tie,30,1,2.8221844994986895,optimal,True,526.740624444015,526.740624444015,0.0,619,6,18,9,22,2.362210541497916,optimal,True,526.740624444015,526.740624444015,0.0,619,6,18,9,22,1.271452811997733,optimal,True,526.740624444015,526.740624444015,0.0,305,1,0,0,22,1.105732166513917,optimal,True,526.740624444015,526.740624444015,0.0,806,0,0,0,0,0.8370149229851983,0.45052079770957,0.39180009907585084,0.0
near_tie,30,2,4.6364890205004485,optimal,True,528.66922455503,528.66922455503,0.0,1238,6,18,9,22,4.102490853998461,optimal,True,528.66922455503,528.66922455503,0.0,1238,6,18,9,22,0.8888432914973237,optimal,True,528.66922455503,528.66922455503,0.0,218,2,0,0,22,1.0603538125142222,optimal,True,528.66922455503,528.66922455503,0.0,253,0,0,0,0,0.884827039567895,0.19170611373547147,0.22869757866907897,0.0
many_breakpoints,30,0,5.004267500000424,time_limit,False,714.2396605336496,714.3625636296649,0.00017207542902823237,882,12,31,15,76,5.002931687500677,time_limit,False,714.2396605336496,714.351861920633,0.00015709207032776217,1175,16,35,17,76,5.002616375510115,time_limit,False,714.2396605336496,714.3518619206332,0.00015706739628545786,1079,10,0,0,0,0.005415208506747149,optimal,True,714.2396605336496,714.2396605336495,0.0,1,0,0,0,0,0.9997330653287926,0.9996700567085376,0.0010821181135394322,0.0
many_breakpoints,30,1,5.023321541491896,time_limit,False,711.1729335234375,711.4584994199832,0.0004015421328409983,744,16,39,19,76,5.001925812510308,time_limit,False,711.1729335234375,711.3780962965941,0.00028848506950367896,1230,31,71,35,95,5.003782417014008,time_limit,False,711.1729335234375,711.3953255373204,0.00031261382511196784,1147,12,0,0,0,0.004472437489312142,optimal,True,711.1729335234375,711.1729335234376,0.0,1,0,0,0,0,0.9957407207950233,0.9961103177814724,0.0008903347023220527,0.0
many_breakpoints,30,2,5.002712354485993,time_limit,False,707.3475634685924,713.2673186634444,0.008368948308556409,1377,2,1,0,0,5.002323625492863,time_limit,False,707.3475634685924,713.2673186632996,0.008368948308351809,1348,2,1,0,0,5.005744374997448,time_limit,False,712.9574507822524,713.2028377154824,0.0003440633158667324,1120,12,0,0,0,0.0347644584835507,optimal,True,712.9574507822524,712.9574507822524,0.0,64,0,0,0,0,0.999922296353341,1.0006060753240662,0.006949122000263913,0.0
