panel,instance,family,configuration,n,menu_size,gamma,threshold_count,breakpoints_per_group,clique_iterations_per_bound,adaptive_speedup,compressed_theta_fraction,clique_theta_fraction
Primary,near_tie_n720_m6_g26_s14,near_tie,primary,720,6,26,26,0.03611111111111111,1528.7142857142858,1.7461925184470077,0.46153846153846156,0.46153846153846156
Primary,near_tie_n720_m6_g26_s15,near_tie,primary,720,6,26,26,0.03611111111111111,1518.0,1.9472425743909696,0.46153846153846156,0.46153846153846156
Primary,near_tie_n1440_m6_g37_s11,near_tie,primary,1440,6,37,26,0.018055555555555554,2929.625,2.306827155769797,0.46153846153846156,0.46153846153846156
Primary,near_tie_n1440_m6_g37_s12,near_tie,primary,1440,6,37,26,0.018055555555555554,3089.0,3.399471543097385,0.11538461538461539,0.34615384615384615
Primary,near_tie_n1440_m6_g37_s13,near_tie,primary,1440,6,37,26,0.018055555555555554,3094.6,3.255609148699363,0.11538461538461539,0.34615384615384615
Primary,near_tie_n1440_m6_g37_s14,near_tie,primary,1440,6,37,26,0.018055555555555554,3018.1428571428573,2.124081474420338,0.46153846153846156,0.46153846153846156
Primary,near_tie_n1440_m6_g37_s15,near_tie,primary,1440,6,37,26,0.018055555555555554,2972.5,2.331850694769022,0.46153846153846156,0.46153846153846156
Primary,many_breakpoints_n360_m6_g18_s11,many_breakpoints,primary,360,6,18,1801,5.002777777777778,796.4,1.5299828403026288,0.013325930038867296,0.013325930038867296
Primary,many_breakpoints_n360_m6_g18_s12,many_breakpoints,primary,360,6,18,1801,5.002777777777778,792.3333333333334,1.5159579529886649,0.013325930038867296,0.013325930038867296
Primary,many_breakpoints_n360_m6_g18_s13,many_breakpoints,primary,360,6,18,1801,5.002777777777778,799.2,1.5452028057861293,0.013325930038867296,0.013325930038867296
Primary,many_breakpoints_n360_m6_g18_s14,many_breakpoints,primary,360,6,18,1801,5.002777777777778,783.9333333333333,1.4889136114525534,0.013325930038867296,0.013325930038867296
Primary,many_breakpoints_n360_m6_g18_s15,many_breakpoints,primary,360,6,18,1801,5.002777777777778,776.0,1.539437030772722,0.013325930038867296,0.013325930038867296
Primary,many_breakpoints_n720_m6_g26_s11,many_breakpoints,primary,720,6,26,3601,5.001388888888889,1536.8666666666666,1.740194094179371,0.006664815329075257,0.006664815329075257
Primary,many_breakpoints_n720_m6_g26_s12,many_breakpoints,primary,720,6,26,3601,5.001388888888889,1545.2666666666667,1.7579388760721608,0.006664815329075257,0.006664815329075257
Primary,many_breakpoints_n720_m6_g26_s13,many_breakpoints,primary,720,6,26,3601,5.001388888888889,1573.8,1.8170830845631363,0.006664815329075257,0.006664815329075257
