execution_order,family,instance,method,n,repeat,seconds,seed
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,1,0.2659548750089016,52
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,2,0.2762407090049237,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,0,0.7801519999920856,52
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,1,0.7813203749828972,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,2,0.7952776250021998,52
second,near_tie,near_tie_n360_m6_g18_s51,compressed,360,0,0.06286495897802524,51
first,near_tie,near_tie_n360_m6_g18_s51,compressed,360,1,0.10525379201862961,51
second,near_tie,near_tie_n360_m6_g18_s51,compressed,360,2,0.06327562499791384,51
first,near_tie,near_tie_n360_m6_g18_s51,clique,360,0,0.08471008299966343,51
second,near_tie,near_tie_n360_m6_g18_s51,clique,360,1,0.08829820802202448,51
first,near_tie,near_tie_n360_m6_g18_s51,clique,360,2,0.08384220799780451,51
first,near_tie,near_tie_n360_m6_g18_s52,compressed,360,0,0.0623322079773061,52
second,near_tie,near_tie_n360_m6_g18_s52,compressed,360,1,0.06382720798137598,52
first,near_tie,near_tie_n360_m6_g18_s52,compressed,360,2,0.06342004099860787,52
second,near_tie,near_tie_n360_m6_g18_s52,clique,360,0,0.08736695800325833,52
first,near_tie,near_tie_n360_m6_g18_s52,clique,360,1,0.08566554100252688,52
second,near_tie,near_tie_n360_m6_g18_s52,clique,360,2,0.08486291600274853,52
second,near_tie,near_tie_n720_m6_g26_s51,compressed,720,0,0.10856716701528057,51
first,near_tie,near_tie_n720_m6_g26_s51,compressed,720,1,0.10777858301298693,51
second,near_tie,near_tie_n720_m6_g26_s51,compressed,720,2,0.10821795798256062,51
first,near_tie,near_tie_n720_m6_g26_s51,clique,720,0,0.1912013340042904,51
second,near_tie,near_tie_n720_m6_g26_s51,clique,720,1,0.19020608297432773,51
first,near_tie,near_tie_n720_m6_g26_s51,clique,720,2,0.18914116697851568,51
first,near_tie,near_tie_n720_m6_g26_s52,compressed,720,0,0.11262091700336896,52
second,near_tie,near_tie_n720_m6_g26_s52,compressed,720,1,0.11342962499475107,52
first,near_tie,near_tie_n720_m6_g26_s52,compressed,720,2,0.11202358300215565,52
second,near_tie,near_tie_n720_m6_g26_s52,clique,720,0,0.1834180839941837,52
first,near_tie,near_tie_n720_m6_g26_s52,clique,720,1,0.18341529200552031,52
second,near_tie,near_tie_n720_m6_g26_s52,clique,720,2,0.18320112500805408,52
second,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,0,0.2209080409957096,51
first,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,1,0.21909266599686816,51
second,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,2,0.21845991699956357,51
first,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,0,0.45245404200977646,51
second,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,1,0.457513083005324,51
first,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,2,0.45679445800487883,51
first,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,0,0.22712716599926353,52
second,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,1,0.2273693750030361,52
first,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,2,0.22862733399961144,52
second,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,0,0.4456653749803081,52
first,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,1,0.4294708340021316,52
second,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,2,0.43040154202026315,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,0,0.09475879100500606,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,1,0.09338991699041799,51
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,2,0.09294933301862329,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,0,0.08342529198853299,51
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,1,0.08225387500715442,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,2,0.08182612500968389,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,0,0.09442062498419546,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,1,0.09546491701621562,52
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,2,0.0950405839830637,52
