configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,0,9029.819580625643,0.0832329580152873,11,tolerance,12,9029.819580625643
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,1,9029.819580625643,0.08128775001387112,11,tolerance,12,9029.819580625643
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,2,9029.819580625643,0.08398333299555816,11,tolerance,12,9029.819580625643
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,3,9029.819580625643,0.0823145000031218,11,tolerance,12,9029.819580625643
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,4,9029.819580625643,0.08201104198815301,11,tolerance,12,9029.819580625643
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,0,9038.334587804695,0.1257865419902373,11,exact,12,9029.8195806245
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,1,9038.334587804695,0.12417241701041348,11,exact,12,9029.8195806245
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,2,9038.334587804695,0.12646370902075432,11,exact,12,9029.8195806245
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,3,9038.334587804695,0.1248456249886658,11,exact,12,9029.8195806245
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,4,9038.334587804695,0.1227452080056537,11,exact,12,9029.8195806245
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,0,9018.218983892411,0.08158437500242144,12,tolerance,12,9018.218983892411
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,1,9018.218983892411,0.08087662499747239,12,tolerance,12,9018.218983892411
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,2,9018.218983892411,0.08098804199835286,12,tolerance,12,9018.218983892411
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,3,9018.218983892411,0.0809452919929754,12,tolerance,12,9018.218983892411
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,4,9018.218983892411,0.08118512501823716,12,tolerance,12,9018.218983892411
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,0,9026.788731911412,0.12390187499113381,12,exact,12,9018.218983885006
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,1,9026.788731911412,0.1236727079958655,12,exact,12,9018.218983885006
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,2,9026.788731911412,0.12826162498095073,12,exact,12,9018.218983885006
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,3,9026.788731911412,0.1252250839897897,12,exact,12,9018.218983885006
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,4,9026.788731911412,0.12589279099483974,12,exact,12,9018.218983885006
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,0,9030.302900616414,0.0807606250164099,13,tolerance,12,9030.302900616414
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,1,9030.302900616414,0.08044704201165587,13,tolerance,12,9030.302900616414
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,2,9030.302900616414,0.082427417015424,13,tolerance,12,9030.302900616414
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,3,9030.302900616414,0.08163095801137388,13,tolerance,12,9030.302900616414
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,4,9030.302900616414,0.08208916601142846,13,tolerance,12,9030.302900616414
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,4,9030.302900614979,clique,360,1.0071585768302303e-15,0,9039.474023286311,0.12377870897762477,13,tolerance,12,9030.302900614988
