adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_all_interval_bounds_certified,compressed_interval_bound_evaluations,compressed_maximum_oracle_optimality_gap,compressed_maximum_scaled_oracle_optimality_gap,compressed_multiplier_evaluations,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
0.9138649933799396,1,14401,178584,3.9865988189012165e-16,18251.04040990215,0.06109716699575074,2109,0,tolerance,3,0.11538461538461539,True,1,0.00015980486932676286,8.75593203114338e-09,46,5.302176429138618e-14,18251.04040990311,0.06685579099575989,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s31,6,720,3,31,26
0.8885648064040371,1,14401,178584,1.9928337619353276e-16,18255.30496612379,0.060253208997892216,2021,0,tolerance,3,0.11538461538461539,True,1,0.00016072069411166012,8.804054186435234e-09,46,3.786384147677122e-14,18255.304966124477,0.0678095830080565,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s32,6,720,3,32,26
0.877097242034873,1,14401,178584,3.985742738919182e-16,18254.960469818125,0.05975699998089112,2010,0,tolerance,3,0.11538461538461539,True,1,0.00016177962970687076,8.862228432340274e-09,46,5.380752697540896e-15,18254.960469818216,0.06813041600980796,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s33,6,720,3,33,26
3.3637651562304933,7,87646,1092156,3.3663152561691627e-07,15799.10366309857,0.23289154202211648,10160,3,tolerance,12,0.46153846153846156,True,1,9.840616803558078e-05,6.2288178339411525e-09,48,4.294595949420236e-14,15798.530420870626,0.06923537500551902,0,tolerance,3,0.11538461538461539,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s31,6,720,3,31,26
1.571382630299364,7,87618,1091820,3.4586968154184126e-16,15777.664311215744,0.22190449998015538,9338,3,tolerance,12,0.46153846153846156,True,7,9.846647844824474e-05,6.305270215968159e-09,336,5.260677856251405e-13,15777.526917982514,0.14121608302230015,3,tolerance,12,0.46153846153846156,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s32,6,720,3,32,26
1.6375041022769727,7,87642,1092108,0.0,15796.253483039973,0.23380379201262258,10075,3,exact,12,0.46153846153846156,True,7,9.909877371683251e-05,6.352744297524565e-09,336,3.887617239654339e-13,15796.072112591022,0.14278058399213478,3,tolerance,12,0.46153846153846156,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s33,6,720,3,33,26
0.827676686397707,1,14401,178584,0.0,13449.870223142174,0.05198095800005831,1616,0,tolerance,3,0.11538461538461539,True,1,0.00012458224955480546,9.262710159121201e-09,47,3.575802519417662e-13,13449.870223147002,0.06280345798586495,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s31,6,720,3,31,26
0.7713488453591342,1,14401,178584,5.391623713000782e-16,13494.928432484943,0.04858224999043159,1366,0,tolerance,3,0.11538461538461539,True,1,0.00011887865366588812,8.809135540108993e-09,47,4.855157153557205e-13,13494.928432491488,0.06298349998542108,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s32,6,720,3,32,26
0.769983098281447,1,14401,178584,2.703479708918101e-16,13456.652902150274,0.05010408299858682,1409,0,tolerance,3,0.11538461538461539,True,1,0.00012148415589763317,9.027813735031996e-09,47,3.5226340607202854e-13,13456.65290215501,0.06507166600204073,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s33,6,720,3,33,26
1.9643695563672183,5,65702,817284,9.631669219137397e-07,17257.712624078904,0.19083637499716133,8252,2,tolerance,9,0.002499305748403221,True,1,0.0001297894850722514,7.520676195405564e-09,47,9.63167066735793e-07,17257.688231749795,0.09714891700423323,0,tolerance,3,0.0008331019161344071,sparse_budget,many_breakpoints,0.0,1,many_breakpoints_n720_m6_g1_s31,6,720,3,31,3601
