adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_all_interval_bounds_certified,compressed_interval_bound_evaluations,compressed_maximum_oracle_optimality_gap,compressed_maximum_scaled_oracle_optimality_gap,compressed_multiplier_evaluations,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
1.7444469252327477,21,162468,2117868,5.758101365519639e-07,2190717.2842750717,0.44877456249378156,10676,10,tolerance,33,0.035869565217391305,True,17,0.01709729409776628,9.008501010255593e-09,828,1.784527967920616e-07,2053804.5657441583,0.2572589374904055,8,tolerance,27,0.029347826086956522,external_coefficient_transfer,rwth_knapsack,0.0,250,rwth_knapsack_n=1000_seed=31,2,1000,2,31,920
1.620431048295732,28,215725,2813036,8.528594024349498e-08,2184240.070268751,0.5285886250057956,12834,14,tolerance,42,0.0457516339869281,True,24,0.016962649999186397,9.004118589501841e-09,1171,8.528663199584655e-08,2043562.56981077,0.32620247900194954,12,tolerance,36,0.0392156862745098,external_coefficient_transfer,rwth_knapsack,0.0,250,rwth_knapsack_n=1000_seed=32,2,1000,2,32,918
1.7216155325032352,30,230916,3011352,0.0,2182247.4279947886,0.548526041500736,13215,16,tolerance,43,0.04756637168141593,True,24,0.017477153334766626,9.304529002503419e-09,1171,9.340034631400631e-07,2042514.0780059558,0.31861122947884724,13,tolerance,36,0.03982300884955752,external_coefficient_transfer,rwth_knapsack,0.0,250,rwth_knapsack_n=1000_seed=33,2,1000,2,33,904
2.938528077597609,29,1122699,14632736,6.723155281693942e-07,4748023.03229161,4.347764478996396,36696,14,tolerance,45,0.014066895904970303,True,23,0.036885210778564215,9.7217209912218e-09,1173,3.8149559845532355e-07,4561962.946707929,1.4795722090057097,11,tolerance,36,0.011253516723976243,external_coefficient_transfer,rwth_knapsack,0.0,500,rwth_knapsack_n=5000_seed=41,2,5000,2,41,3199
3.0507956459902728,25,968903,12627136,3.5873846768383865e-07,4741513.930070367,3.942576707995613,34346,12,tolerance,39,0.01229120705956508,True,19,0.036386062391102314,9.523043583166272e-09,969,8.757740402900112e-08,4557108.489510766,1.2923109789990121,9,tolerance,30,0.009454774661203908,external_coefficient_transfer,rwth_knapsack,0.0,500,rwth_knapsack_n=5000_seed=42,2,5000,2,42,3173
3.2317590992541825,27,1045255,13623384,8.665120344530613e-07,4748523.006014918,4.164864500009571,35461,13,tolerance,42,0.012999071494893221,True,19,0.03675494063645601,9.600000188901822e-09,969,6.805437448922905e-07,4559658.109778856,1.2887298749992624,9,tolerance,30,0.009285051067780872,external_coefficient_transfer,rwth_knapsack,6.805432692953695e-07,500,rwth_knapsack_n=5000_seed=43,2,5000,2,43,3231
3.630664130210295,31,2412102,31425596,4.203239422353346e-07,4894158.362173978,11.186645520516322,49828,15,tolerance,45,0.010031208203299153,True,23,0.04665353707969189,9.850675373690476e-09,1217,4.965455677749795e-07,4756941.923033935,3.0811568130011437,11,tolerance,35,0.00780205082478823,external_coefficient_transfer,rwth_knapsack,0.0,500,rwth_knapsack_n=10000_seed=51,2,10000,2,51,4486
4.254190064296192,31,2412248,31427348,5.760183225737293e-08,4895289.295451231,10.986215583005105,49372,15,tolerance,47,0.010444444444444444,True,19,0.04677622299641371,9.8295609346506e-09,1005,9.864110161126051e-07,4758729.642900007,2.5824458749993937,9,tolerance,30,0.006666666666666667,external_coefficient_transfer,rwth_knapsack,3.9657164167238093e-07,500,rwth_knapsack_n=10000_seed=52,2,10000,2,52,4500
4.1503529619069965,31,2411752,31421396,3.4282084437272344e-08,4898033.725780949,10.939175312494626,49003,15,tolerance,46,0.010332434860736747,True,19,0.046147638000547886,9.852855645801119e-09,1005,9.087808992993848e-07,4763675.227705893,2.635721687503974,9,tolerance,30,0.006738544474393531,external_coefficient_transfer,rwth_knapsack,0.0,500,rwth_knapsack_n=10000_seed=53,2,10000,2,53,4452
