execution_order,family,instance,method,n,repeat,seconds,seed
second,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,0,0.04802358301822096,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,1,0.04913312499411404,51
second,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,2,0.04846566598280333,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,0,0.08879195799818262,51
second,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,1,0.08134937498834915,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,2,0.08111558301607147,51
first,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,0,0.04914766701404005,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,1,0.04865974999847822,52
first,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,2,0.04860724997706711,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,0,0.08224108399008401,52
first,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,1,0.08221183301066048,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,2,0.08218716699047945,52
second,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,0,0.09022970800288022,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,1,0.08953274998930283,51
second,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,2,0.08946537500014529,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,0,0.19404366699745879,51
second,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,1,0.1926352919836063,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,2,0.19180279099964537,51
first,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,0,0.08924974998808466,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,1,0.08926137501839548,52
first,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,2,0.08962995899491943,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,0,0.19205520799732767,52
first,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,1,0.19150049999007024,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,2,0.19172408402664587,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,0,0.17200479199527763,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,1,0.17254795800545253,51
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,2,0.173144250002224,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,0,0.4562439169967547,51
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,1,0.46394783398136497,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,2,0.4591581670101732,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,0,0.16896208300022408,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,1,0.16883741700439714,52
first,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,2,0.16815691700321622,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,0,0.5109221669845283,52
first,dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,1,0.4618564579868689,52
