execution_order,family,instance,method,n,repeat,seconds,seed
second,dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,2,0.4626843340229243,52
second,correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,0,0.04802783398190513,51
first,correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,1,0.049017292010830715,51
second,correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,2,0.04795941701740958,51
first,correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,0,0.11560225000721402,51
second,correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,1,0.11593191701103933,51
first,correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,2,0.11601891598547809,51
first,correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,0,0.05354133399669081,52
second,correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,1,0.053965792001690716,52
first,correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,2,0.053056083008414134,52
second,correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,0,0.11219037498813123,52
first,correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,1,0.114176959003089,52
second,correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,2,0.11195729099563323,52
second,correlated_risk,correlated_risk_n720_m6_g26_s51,compressed,720,0,0.09940258399001323,51
first,correlated_risk,correlated_risk_n720_m6_g26_s51,compressed,720,1,0.09917220901115797,51
second,correlated_risk,correlated_risk_n720_m6_g26_s51,compressed,720,2,0.09928187500918284,51
first,correlated_risk,correlated_risk_n720_m6_g26_s51,clique,720,0,0.2804295420064591,51
second,correlated_risk,correlated_risk_n720_m6_g26_s51,clique,720,1,0.2805757090100087,51
first,correlated_risk,correlated_risk_n720_m6_g26_s51,clique,720,2,0.28005783300613984,51
first,correlated_risk,correlated_risk_n720_m6_g26_s52,compressed,720,0,0.09233574999962002,52
second,correlated_risk,correlated_risk_n720_m6_g26_s52,compressed,720,1,0.09161433301051147,52
first,correlated_risk,correlated_risk_n720_m6_g26_s52,compressed,720,2,0.09196116699604318,52
second,correlated_risk,correlated_risk_n720_m6_g26_s52,clique,720,0,0.2807869169919286,52
first,correlated_risk,correlated_risk_n720_m6_g26_s52,clique,720,1,0.2795908749976661,52
second,correlated_risk,correlated_risk_n720_m6_g26_s52,clique,720,2,0.28002837498206645,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s51,compressed,1440,0,0.17256966698914766,51
first,correlated_risk,correlated_risk_n1440_m6_g37_s51,compressed,1440,1,0.17282979199080728,51
second,correlated_risk,correlated_risk_n1440_m6_g37_s51,compressed,1440,2,0.17465358300250955,51
first,correlated_risk,correlated_risk_n1440_m6_g37_s51,clique,1440,0,0.7006819169910159,51
second,correlated_risk,correlated_risk_n1440_m6_g37_s51,clique,1440,1,0.7119209579832386,51
first,correlated_risk,correlated_risk_n1440_m6_g37_s51,clique,1440,2,0.7063830000115559,51
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,0,0.1926410419982858,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,1,0.19385495799360797,52
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,2,0.19468912499723956,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,0,0.7807643330015708,52
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,1,0.7778658329916652,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,2,0.7785339580150321,52
second,near_tie,near_tie_n360_m6_g18_s51,compressed,360,0,0.046318375010741875,51
first,near_tie,near_tie_n360_m6_g18_s51,compressed,360,1,0.046492916997522116,51
second,near_tie,near_tie_n360_m6_g18_s51,compressed,360,2,0.046801958000287414,51
first,near_tie,near_tie_n360_m6_g18_s51,clique,360,0,0.08242645801510662,51
second,near_tie,near_tie_n360_m6_g18_s51,clique,360,1,0.08247049999772571,51
first,near_tie,near_tie_n360_m6_g18_s51,clique,360,2,0.08214795801904984,51
first,near_tie,near_tie_n360_m6_g18_s52,compressed,360,0,0.04529087501578033,52
second,near_tie,near_tie_n360_m6_g18_s52,compressed,360,1,0.04599483299534768,52
first,near_tie,near_tie_n360_m6_g18_s52,compressed,360,2,0.04548683398752473,52
second,near_tie,near_tie_n360_m6_g18_s52,clique,360,0,0.08147866697981954,52
first,near_tie,near_tie_n360_m6_g18_s52,clique,360,1,0.08119645901024342,52
second,near_tie,near_tie_n360_m6_g18_s52,clique,360,2,0.08138574997428805,52
second,near_tie,near_tie_n720_m6_g26_s51,compressed,720,0,0.08261770897661336,51
first,near_tie,near_tie_n720_m6_g26_s51,compressed,720,1,0.08272754101199098,51
second,near_tie,near_tie_n720_m6_g26_s51,compressed,720,2,0.08248416698188521,51
first,near_tie,near_tie_n720_m6_g26_s51,clique,720,0,0.19095145800383762,51
second,near_tie,near_tie_n720_m6_g26_s51,clique,720,1,0.19051354101975448,51
first,near_tie,near_tie_n720_m6_g26_s51,clique,720,2,0.18980637498316355,51
first,near_tie,near_tie_n720_m6_g26_s52,compressed,720,0,0.08620362501824275,52
second,near_tie,near_tie_n720_m6_g26_s52,compressed,720,1,0.08574458298971877,52
first,near_tie,near_tie_n720_m6_g26_s52,compressed,720,2,0.0856481250084471,52
second,near_tie,near_tie_n720_m6_g26_s52,clique,720,0,0.18451695799012668,52
first,near_tie,near_tie_n720_m6_g26_s52,clique,720,1,0.18462474999250844,52
second,near_tie,near_tie_n720_m6_g26_s52,clique,720,2,0.18432845899951644,52
second,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,0,0.15941837499849498,51
first,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,1,0.1575153329758905,51
second,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,2,0.15875779199996032,51
first,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,0,0.4565662500099279,51
second,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,1,0.45428345902473666,51
first,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,2,0.45610762501019053,51
first,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,0,0.16505070801940747,52
second,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,1,0.16455737501382828,52
first,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,2,0.1640006670204457,52
second,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,0,0.4326162920042407,52
first,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,1,0.4298996249854099,52
second,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,2,0.4311021250032354,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,0,0.06781708300695755,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,1,0.0679830829903949,51
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,2,0.06777412502560765,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,0,0.080663500004448,51
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,1,0.08100133301923051,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,2,0.08147816700511612,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,0,0.06966895802179351,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,1,0.0701052499935031,52
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,2,0.06973462499445304,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,0,0.07891966699389741,52
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,1,0.07984787499299273,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,2,0.0790377919911407,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,0,0.14832170799490996,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,1,0.14717666601063684,51
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,2,0.14595691600698046,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,0,0.22971791599411517,51
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,1,0.2312757089966908,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,2,0.2313436249969527,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,0,0.14818916699732654,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,1,0.14747841699863784,52
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,2,0.14616312499856576,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,0,0.22260574999381788,52
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,1,0.22124262500437908,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,2,0.22238629098865204,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,0,0.31333279199316166,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,1,0.3153266249864828,51
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,2,0.31449562500347383,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,0,0.8169115000055172,51
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,1,0.8211793329974171,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,2,0.821458916994743,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,0,0.30518970897537656,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,1,0.30752320800093,52
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,2,0.3086705830064602,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,0,0.8068728329963051,52
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,1,0.8103922499867622,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,2,0.8118166670028586,52
