all_compressed_bounds_certified,clique_matrix_nnz,clique_matrix_storage_bytes,clique_seconds,clique_solver_iterations,compressed_bound_le_clique_rate,compressed_seconds,family,instance,intervals,maximum_compressed_certificate_gap,maximum_compressed_scaled_certificate_gap,n,seed,speedup,theta_count
True,46597,579408,0.08134937498834915,5680,1.0,0.04846566598280333,dense_frontier,dense_frontier_n360_m6_g18_s51,7,8.10034525784431e-05,9.405400859541965e-09,360,51,1.6784949373689342,26
True,46597,579408,0.08221183301066048,5760,1.0,0.04865974999847822,dense_frontier,dense_frontier_n360_m6_g18_s52,7,8.114158663374837e-05,9.441931191383368e-09,360,52,1.6895243607546602,26
True,93179,1158552,0.1926352919836063,11215,1.0,0.08953274998930283,dense_frontier,dense_frontier_n720_m6_g26_s51,7,0.00016184686683118343,9.410990650455985e-09,720,51,2.151562327825538,26
True,93180,1158564,0.19172408402664587,11624,1.0,0.08926137501839548,dense_frontier,dense_frontier_n720_m6_g26_s52,7,0.00016214523566304706,9.434146461229496e-09,720,52,2.147895256902936,26
True,186343,2316840,0.4591581670101732,22847,1.0,0.17254795800545253,dense_frontier,dense_frontier_n1440_m6_g37_s51,7,0.000322492174746003,9.386017135248815e-09,1440,51,2.6610466580871606,26
True,186343,2316840,0.4626843340229243,22423,1.0,0.16883741700439714,dense_frontier,dense_frontier_n1440_m6_g37_s52,7,0.0003255315241403878,9.482772891159845e-09,1440,52,2.7404134831728344,26
True,46547,578808,0.11593191701103933,7401,1.0,0.04802783398190513,correlated_risk,correlated_risk_n360_m6_g18_s51,7,5.001541376259411e-05,6.656949201716882e-09,360,51,2.413848541550252,26
True,46373,576720,0.11219037498813123,6885,1.0,0.05354133399669081,correlated_risk,correlated_risk_n360_m6_g18_s52,7,5.037589380663121e-05,6.678515538184295e-09,360,52,2.0953974548909313,25
True,93097,1157568,0.2804295420064591,13241,1.0,0.09928187500918284,correlated_risk,correlated_risk_n720_m6_g26_s51,7,9.966513789549936e-05,6.604885586289819e-09,720,51,2.824579430842955,26
True,93122,1157868,0.28002837498206645,13226,1.0,0.09196116699604318,correlated_risk,correlated_risk_n720_m6_g26_s52,7,0.00010069685595226474,6.705870573367297e-09,720,52,3.045072002991385,26
True,186171,2314776,0.7063830000115559,25297,1.0,0.17282979199080728,correlated_risk,correlated_risk_n1440_m6_g37_s51,7,0.00019829886878142133,6.613801406363173e-09,1440,51,4.08715992697097,26
True,186116,2314116,0.7785339580150321,26200,1.0,0.19385495799360797,correlated_risk,correlated_risk_n1440_m6_g37_s52,7,0.00019840538516291417,6.614505300649595e-09,1440,52,4.0160642063160585,26
True,46591,579336,0.08242645801510662,5960,1.0,0.046492916997522116,near_tie,near_tie_n360_m6_g18_s51,7,5.9675252487068065e-05,9.252238086326996e-09,360,51,1.7728820503884413,26
True,46591,579336,0.08138574997428805,5795,1.0,0.04548683398752473,near_tie,near_tie_n360_m6_g18_s52,7,6.091731847845949e-05,9.461066831307952e-09,360,52,1.789215534249075,26
True,93175,1158504,0.19051354101975448,11399,1.0,0.08261770897661336,near_tie,near_tie_n720_m6_g26_s51,7,0.00012163275277998764,9.427848892304171e-09,720,51,2.3059649484311318,26
True,93175,1158504,0.18451695799012668,11006,1.0,0.08574458298971877,near_tie,near_tie_n720_m6_g26_s52,7,0.00011981077113887295,9.325388774851392e-09,720,52,2.1519372018200995,26
True,186343,2316840,0.45610762501019053,22647,1.0,0.15875779199996032,near_tie,near_tie_n1440_m6_g37_s51,7,0.0002471532679919619,9.607820716037616e-09,1440,51,2.8729778819946334,26
True,186343,2316840,0.4311021250032354,20529,1.0,0.16455737501382828,near_tie,near_tie_n1440_m6_g37_s52,7,0.0002487427700543776,9.672307958896774e-09,1440,52,2.619767877112822,26
True,46803,581880,0.08100133301923051,6057,1.0,0.06781708300695755,many_breakpoints,many_breakpoints_n360_m6_g18_s51,7,5.4267511586658657e-05,7.135753817030818e-09,360,51,1.1944089811547978,1801
True,46803,581880,0.0790377919911407,5699,1.0,0.06973462499445304,many_breakpoints,many_breakpoints_n360_m6_g18_s52,7,5.453199082694482e-05,7.1323768277441696e-09,360,52,1.1334081454862295,1801
True,93603,1163640,0.2312757089966908,13616,1.0,0.14717666601063684,many_breakpoints,many_breakpoints_n720_m6_g26_s51,7,0.00013316111653693952,9.313114812943619e-09,720,51,1.5714156004863973,3601
True,93603,1163640,0.22238629098865204,12815,1.0,0.14747841699863784,many_breakpoints,many_breakpoints_n720_m6_g26_s52,7,0.000132579942146549,9.264912613970813e-09,720,52,1.507924315398002,3601
True,187203,2327160,0.8211793329974171,31782,1.0,0.31449562500347383,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,7,0.0002240597241325304,8.32031366866273e-09,1440,51,2.6110993848907964,7201
True,187203,2327160,0.8103922499867622,32274,1.0,0.30752320800093,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,7,0.00022372406965587288,8.306017570022681e-09,1440,52,2.635223062528378,7201
