construct_seconds,execution_order,family,instance,method,n,query_seconds,repeat,seed,total_seconds
0.003991750010754913,first,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.0008251249964814633,0,21,0.004871292010648176
0.07657824998022988,second,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.001963375019840896,0,21,0.07855737500358373
0.07609558300464414,first,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0019507500110194087,1,21,0.07806204201187938
0.003713334008352831,second,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.0009309169836342335,1,21,0.004708124994067475
0.0036127919738646597,first,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.0007563330000266433,2,21,0.00441562500782311
0.07615033301408403,second,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.002024791989242658,2,21,0.07818970899097621
0.07625562499742955,first,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0019382089958526194,3,21,0.07820787499076687
0.003791249997448176,second,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.000770999991800636,3,21,0.004610666976077482
0.0035783330095000565,first,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.0007635419897269458,4,21,0.004395583993755281
0.07635587500408292,second,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0019460829789750278,4,21,0.07831562499632128
0.07649462501285598,first,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.00200304199825041,0,22,0.0785125000111293
0.003627208003308624,second,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.0007900420168880373,0,22,0.004464915982680395
0.0035840829950757325,first,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.0007470000127796084,1,22,0.004379874997539446
0.07603245897917077,second,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.0019714999943971634,1,22,0.07801820800523274
0.07626400000299327,first,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.0019821250170934945,2,22,0.07826316700084135
0.0036552500096149743,second,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.0007635000220034271,2,22,0.004468208993785083
0.003814958006842062,first,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.0007569169974885881,3,22,0.004619416024070233
0.07642212498467416,second,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.0020507499866653234,3,22,0.07848750002449378
0.0760074169957079,first,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.00202191699645482,4,22,0.07804350001970306
0.003558249998604879,second,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.0007638749957550317,4,22,0.004376750002847984
0.003561916993930936,first,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0007430420082528144,0,23,0.004352458025095984
0.07622625000658445,second,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.0019697080133482814,0,23,0.07820958297816105
0.07643512499635108,first,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.0019826659990940243,1,23,0.07843183301156387
0.0037601249932777137,second,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0007635829970240593,1,23,0.004574249993311241
0.003643250005552545,first,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0007493339944630861,2,23,0.004442040983121842
0.07666562500526197,second,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.002028416987741366,2,23,0.07870775001356378
0.07644620799692348,first,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.0020168749906588346,3,23,0.07847599999513477
0.003601332980906591,second,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0007533750031143427,3,23,0.004402541992021725
0.003608041995903477,first,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0007516250188928097,4,23,0.004407458996865898
0.07640654197894037,second,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.0019886250083800405,4,23,0.07840954200946726
0.00704724999377504,first,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0010130000009667128,0,21,0.008149582979967818
0.1509653750108555,second,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.003952000028220937,0,21,0.15494166701682843
0.14968708402011544,first,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.003980959008913487,1,21,0.153692082996713
0.006995500007178634,second,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0010533749882597476,1,21,0.00813925001421012
0.00696199998492375,first,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.001060583017533645,2,21,0.008108582987915725
0.1503272090048995,second,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.004044208995765075,2,21,0.1543957079993561
0.15067145801731385,first,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.004033584002172574,3,21,0.15472920800675638
0.006928041024366394,second,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0010331669764127582,3,21,0.0080479999887757
0.0070654170121997595,first,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0010384999914094806,4,21,0.008187540981452912
0.15088558301795274,second,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.004096874996321276,4,21,0.15500699999392964
0.15030962499440648,first,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.003996791987447068,0,22,0.15432962498744018
0.007001791993388906,second,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0010381249885540456,0,22,0.008124250016408041
0.0070813750207889825,first,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0010387920192442834,1,22,0.008208915998693556
0.15089745898148976,second,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.003977124986704439,1,22,0.15489766601240262
0.1502947499975562,first,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.003933708008844405,2,22,0.15425216700532474
0.007055707974359393,second,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0010376249847467989,2,22,0.00818054098635912
0.007066999998642132,first,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0010193749913014472,3,22,0.008178707998013124
0.15020683300099336,second,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.004037374979816377,3,22,0.15426779200788587
0.1501671249861829,first,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.004019250016426668,4,22,0.1542101250088308
0.007031250017462298,second,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0010429590183775872,4,22,0.00816354202106595
0.006998249999014661,first,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.001043500000378117,0,23,0.008134333009365946
0.15060420898953453,second,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.003978624998126179,0,23,0.15460516599705443
0.1505442499765195,first,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.004091042006621137,1,23,0.1546588749915827
0.006981707992963493,second,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.0012125000066589564,1,23,0.008303416019771248
0.006933374999789521,first,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.0010390419920440763,2,23,0.008063499990385026
0.15202054101973772,second,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.003995917009888217,2,23,0.15603974999976344
0.15051241702167317,first,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.003998415981186554,3,23,0.15453558298759162
0.006984959007240832,second,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.001049291982781142,3,23,0.008122750004986301
