family,groups,seed,repeat,order_index,method,status,certified,objective,upper_bound,relative_gap,seconds,nodes,theta_integer_solves,interval_bound_evaluations,interval_splits,thresholds_covered_by_prunes
near_tie,30,0,0,0,enumeration,optimal,True,528.7264751809771,528.7264751809771,0.0,0.1114740000339225,138,3,0,0,20
near_tie,30,0,0,1,scip,optimal,True,528.7264751809771,528.7264751809771,0.0,3.119670041021891,27,0,0,0,0
near_tie,30,0,0,2,envelope,optimal,True,528.7264751809771,528.7264751809771,0.0,0.15026566700544208,138,8,22,11,20
near_tie,30,0,0,3,clique,optimal,True,528.7264751809771,528.7264751809771,0.0,0.1373438750160858,138,8,22,11,20
near_tie,30,0,1,0,scip,optimal,True,528.7264751809771,528.7264751809771,0.0,3.1164401250425726,27,0,0,0,0
near_tie,30,0,1,1,envelope,optimal,True,528.7264751809771,528.7264751809771,0.0,0.1500067499000579,138,8,22,11,20
near_tie,30,0,1,2,clique,optimal,True,528.7264751809771,528.7264751809771,0.0,0.13629054196644574,138,8,22,11,20
near_tie,30,0,1,3,enumeration,optimal,True,528.7264751809771,528.7264751809771,0.0,0.11168720899149776,138,3,0,0,20
near_tie,30,1,0,0,scip,optimal,True,526.740624444015,526.740624444015,0.0,2.0725439169909805,806,0,0,0,0
near_tie,30,1,0,1,envelope,optimal,True,526.740624444015,526.740624444015,0.0,0.22991808294318616,619,6,18,9,22
near_tie,30,1,0,2,clique,optimal,True,526.740624444015,526.740624444015,0.0,0.22032866708468646,619,6,18,9,22
near_tie,30,1,0,3,enumeration,optimal,True,526.740624444015,526.740624444015,0.0,0.14153191703371704,305,1,0,0,22
near_tie,30,1,1,0,envelope,optimal,True,526.740624444015,526.740624444015,0.0,0.2285430000629276,619,6,18,9,22
near_tie,30,1,1,1,clique,optimal,True,526.740624444015,526.740624444015,0.0,0.2202825000276789,619,6,18,9,22
near_tie,30,1,1,2,enumeration,optimal,True,526.740624444015,526.740624444015,0.0,0.14364366605877876,305,1,0,0,22
near_tie,30,1,1,3,scip,optimal,True,526.740624444015,526.740624444015,0.0,2.0881808750564232,806,0,0,0,0
near_tie,30,2,0,0,envelope,optimal,True,528.66922455503,528.66922455503,0.0,0.3296390000032261,1233,6,18,9,22
near_tie,30,2,0,1,clique,optimal,True,528.66922455503,528.66922455503,0.0,0.3193936670431867,1233,6,18,9,22
near_tie,30,2,0,2,enumeration,optimal,True,528.66922455503,528.66922455503,0.0,0.11743883299641311,216,2,0,0,22
near_tie,30,2,0,3,scip,optimal,True,528.66922455503,528.66922455503,0.0,2.0144152500433847,269,0,0,0,0
near_tie,30,2,1,0,clique,optimal,True,528.66922455503,528.66922455503,0.0,0.31946862500626594,1233,6,18,9,22
near_tie,30,2,1,1,enumeration,optimal,True,528.66922455503,528.66922455503,0.0,0.11845716601237655,216,2,0,0,22
near_tie,30,2,1,2,scip,optimal,True,528.66922455503,528.66922455503,0.0,2.01818604208529,269,0,0,0,0
near_tie,30,2,1,3,envelope,optimal,True,528.66922455503,528.66922455503,0.0,0.330178416101262,1233,6,18,9,22
many_breakpoints,30,0,0,0,enumeration,optimal,True,714.2396605336495,714.2396605336496,0.0,1.046131958020851,1952,31,0,0,120
many_breakpoints,30,0,0,1,scip,optimal,True,714.2396605336496,714.2396605336495,0.0,0.009428707999177277,1,0,0,0,0
many_breakpoints,30,0,0,2,envelope,optimal,True,714.2396605336495,714.2396605336495,0.0,1.068142208037898,1952,34,73,36,120
many_breakpoints,30,0,0,3,clique,optimal,True,714.2396605336495,714.2396605336495,0.0,1.018849749932997,1952,34,73,36,120
many_breakpoints,30,0,1,0,scip,optimal,True,714.2396605336496,714.2396605336495,0.0,0.009483458008617163,1,0,0,0,0
many_breakpoints,30,0,1,1,envelope,optimal,True,714.2396605336495,714.2396605336495,0.0,1.0639667910290882,1952,34,73,36,120
many_breakpoints,30,0,1,2,clique,optimal,True,714.2396605336495,714.2396605336495,0.0,1.0125056670513004,1952,34,73,36,120
many_breakpoints,30,0,1,3,enumeration,optimal,True,714.2396605336495,714.2396605336496,0.0,1.0491366250207648,1952,31,0,0,120
many_breakpoints,30,1,0,0,scip,optimal,True,711.1729335234375,711.1729335234376,0.0,0.008224458084441721,1,0,0,0,0
many_breakpoints,30,1,0,1,envelope,optimal,True,711.1729335234375,711.1729335234375,0.0,1.0931039999704808,1470,49,103,51,105
many_breakpoints,30,1,0,2,clique,optimal,True,711.1729335234375,711.1729335234375,0.0,1.0266930839279667,1470,49,103,51,105
many_breakpoints,30,1,0,3,enumeration,optimal,True,711.1729335234375,711.1729335234375,0.0,0.9817819589516148,1470,12,0,0,105
many_breakpoints,30,1,1,0,envelope,optimal,True,711.1729335234375,711.1729335234375,0.0,1.088102792040445,1470,49,103,51,105
many_breakpoints,30,1,1,1,clique,optimal,True,711.1729335234375,711.1729335234375,0.0,1.027955290977843,1470,49,103,51,105
many_breakpoints,30,1,1,2,enumeration,optimal,True,711.1729335234375,711.1729335234375,0.0,0.9762333749094978,1470,12,0,0,105
many_breakpoints,30,1,1,3,scip,optimal,True,711.1729335234375,711.1729335234376,0.0,0.008110124967060983,1,0,0,0,0
many_breakpoints,30,2,0,0,envelope,time_limit,False,707.3475634685924,713.2673186633164,0.008368948308375434,5.005519541911781,24328,2,1,0,0
many_breakpoints,30,2,0,1,clique,time_limit,False,707.3475634685924,713.2673186632996,0.008368948308351809,5.006061124964617,24344,2,1,0,0
many_breakpoints,30,2,0,2,enumeration,optimal,True,712.9574507822524,712.9574507822524,0.0,1.052625291980803,1724,12,0,0,105
many_breakpoints,30,2,0,3,scip,optimal,True,712.9574507822524,712.9574507822524,0.0,0.06537379196379334,64,0,0,0,0
many_breakpoints,30,2,1,0,clique,time_limit,False,707.3475634685924,713.2673186632996,0.008368948308351809,5.005562416044995,23671,2,1,0,0
many_breakpoints,30,2,1,1,enumeration,optimal,True,712.9574507822524,712.9574507822524,0.0,1.0424724579788744,1724,12,0,0,105
many_breakpoints,30,2,1,2,scip,optimal,True,712.9574507822524,712.9574507822524,0.0,0.06816049991175532,64,0,0,0,0
many_breakpoints,30,2,1,3,envelope,time_limit,False,707.3475634685924,713.2673186633164,0.008368948308375434,5.005205417051911,23773,2,1,0,0
