adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_all_interval_bounds_certified,compressed_interval_bound_evaluations,compressed_maximum_oracle_optimality_gap,compressed_maximum_scaled_oracle_optimality_gap,compressed_multiplier_evaluations,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
1.584786037902514,17,94509,1183272,9.648210407356343e-07,6748.873219664619,0.5399125000694767,6290,8,tolerance,27,0.013533834586466165,True,11,5.4911082770559005e-05,8.138155039759559e-09,572,2.8841001214941735e-14,6748.443465221269,0.3406847909791395,5,tolerance,18,0.009022556390977444,application,uci_online_retail,0.0,18,uci_online_retail_n360_s61,12,360,3,61,1995
1.0287232184868997,19,105232,1317732,6.241588752347321e-08,6944.581746937854,0.58234804100357,6651,9,tolerance,30,0.014962593516209476,True,19,6.131029658718035e-05,8.830358608284861e-09,975,2.873280316408734e-12,6943.205805699952,0.5660881669027731,9,tolerance,30,0.014962593516209476,application,uci_online_retail,0.0,18,uci_online_retail_n360_s62,12,360,3,62,2005
1.1849240918637152,17,93686,1173396,0.0,7208.359175273916,0.5276910829124972,5562,8,exact,27,0.0136986301369863,True,15,6.969929472688818e-05,9.671172462642889e-09,756,4.422204655979947e-07,7207.117491136888,0.4453374579316005,7,tolerance,24,0.0121765601217656,application,uci_online_retail,4.4221995064236763e-07,18,uci_online_retail_n360_s63,12,360,3,63,1971
1.4583037972242303,17,188353,2358360,7.905178325496999e-07,13895.70652667129,1.12985629204195,12138,8,tolerance,27,0.006795872136924239,True,13,0.00011428641482780222,8.226137913265302e-09,676,6.953147958374298e-08,13894.622476276383,0.7747742920182645,6,tolerance,21,0.005285678328718852,application,uci_online_retail,6.192211559587575e-08,26,uci_online_retail_n720_s61,12,720,3,61,3973
1.6564172693418577,19,210517,2635872,8.097049068949655e-07,13927.373424939877,1.2837316659279168,12941,9,tolerance,30,0.0074794315632011965,True,13,0.00012516521564975847,8.988318720871737e-09,669,3.098787170669401e-08,13925.320133463243,0.7750050000613555,6,tolerance,21,0.005235602094240838,application,uci_online_retail,0.0,26,uci_online_retail_n720_s62,12,720,3,62,4011
1.3002977585064626,19,208495,2611608,3.850851140957023e-07,13543.72941411399,1.280699290917255,13305,9,tolerance,30,0.007545271629778672,True,17,0.00012089495794498362,8.930151644261657e-09,867,8.545119770631087e-08,13541.284506154483,0.9849277079338208,8,tolerance,27,0.006790744466800805,application,uci_online_retail,8.545096070155647e-08,26,uci_online_retail_n720_s63,12,720,3,63,3976
1.1349914256135951,19,418833,5245104,5.072453908555921e-15,29408.54021460091,2.5988859159406275,23727,9,tolerance,30,0.00375234521575985,True,19,0.00022989156423136592,7.818493902826582e-09,1014,4.8868763265355825e-14,29405.32014281646,2.2897846250561997,9,tolerance,30,0.00375234521575985,application,uci_online_retail,0.0,37,uci_online_retail_n1440_s61,12,1440,3,61,7995
1.405296624120254,21,460918,5773188,0.0,28576.996070012443,2.8682257500477135,28375,10,tolerance,33,0.004116766467065869,True,17,0.00023266145217348821,8.145281211798929e-09,884,4.379771929120772e-14,28573.741507376446,2.041010916000232,8,tolerance,27,0.0033682634730538923,application,uci_online_retail,0.0,37,uci_online_retail_n1440_s62,12,1440,3,62,8016
3.0642698667984156,27,584933,7330560,8.379104767310569e-07,27122.5779654825,4.166539959027432,34623,13,tolerance,42,0.005242791162152041,True,9,0.0002253640050184913,8.310617129042809e-09,459,8.867131506579277e-07,27117.601679774172,1.3597170419525355,4,tolerance,15,0.0018724254150543004,application,uci_online_retail,5.454874310286614e-07,37,uci_online_retail_n1440_s63,12,1440,3,63,8011
