execution_order,family,instance,method,n,repeat,seconds,seed
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,1,0.28074083395767957,52
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,compressed,1440,2,0.28136366594117135,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,0,1.4792996669420972,52
first,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,1,1.4793209169292822,52
second,correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,2,1.4790670829825103,52
second,near_tie,near_tie_n360_m6_g18_s51,compressed,360,0,0.08258462511003017,51
first,near_tie,near_tie_n360_m6_g18_s51,compressed,360,1,0.08340220898389816,51
second,near_tie,near_tie_n360_m6_g18_s51,compressed,360,2,0.08195670903660357,51
first,near_tie,near_tie_n360_m6_g18_s51,clique,360,0,0.154750540968962,51
second,near_tie,near_tie_n360_m6_g18_s51,clique,360,1,0.1545730420621112,51
first,near_tie,near_tie_n360_m6_g18_s51,clique,360,2,0.15500433405395597,51
first,near_tie,near_tie_n360_m6_g18_s52,compressed,360,0,0.0819420829648152,52
second,near_tie,near_tie_n360_m6_g18_s52,compressed,360,1,0.0854141250019893,52
first,near_tie,near_tie_n360_m6_g18_s52,compressed,360,2,0.08140054205432534,52
second,near_tie,near_tie_n360_m6_g18_s52,clique,360,0,0.15278775000479072,52
first,near_tie,near_tie_n360_m6_g18_s52,clique,360,1,0.1518786249216646,52
second,near_tie,near_tie_n360_m6_g18_s52,clique,360,2,0.15193641697987914,52
second,near_tie,near_tie_n720_m6_g26_s51,compressed,720,0,0.15105833299458027,51
first,near_tie,near_tie_n720_m6_g26_s51,compressed,720,1,0.15188925003167242,51
second,near_tie,near_tie_n720_m6_g26_s51,compressed,720,2,0.14983916701748967,51
first,near_tie,near_tie_n720_m6_g26_s51,clique,720,0,0.3578353750053793,51
second,near_tie,near_tie_n720_m6_g26_s51,clique,720,1,0.3588774170493707,51
first,near_tie,near_tie_n720_m6_g26_s51,clique,720,2,0.3566570420516655,51
first,near_tie,near_tie_n720_m6_g26_s52,compressed,720,0,0.14997224998660386,52
second,near_tie,near_tie_n720_m6_g26_s52,compressed,720,1,0.1507335000205785,52
first,near_tie,near_tie_n720_m6_g26_s52,compressed,720,2,0.1491175420815125,52
second,near_tie,near_tie_n720_m6_g26_s52,clique,720,0,0.3479040829697624,52
first,near_tie,near_tie_n720_m6_g26_s52,clique,720,1,0.34719808399677277,52
second,near_tie,near_tie_n720_m6_g26_s52,clique,720,2,0.3482127090683207,52
second,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,0,0.2817586249439046,51
first,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,1,0.2848631660453975,51
second,near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,2,0.2859764579916373,51
first,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,0,0.8583505420247093,51
second,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,1,0.8580435829935595,51
first,near_tie,near_tie_n1440_m6_g37_s51,clique,1440,2,0.8556358340429142,51
first,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,0,0.282501749927178,52
second,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,1,0.28255524998530746,52
first,near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,2,0.284143166965805,52
second,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,0,0.8119327500462532,52
first,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,1,0.8123634159564972,52
second,near_tie,near_tie_n1440_m6_g37_s52,clique,1440,2,0.8140384159050882,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,0,0.10490991594269872,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,1,0.10401920904405415,51
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,2,0.10349995805881917,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,0,0.15398191707208753,51
second,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,1,0.1545950419967994,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,2,0.15264150011353195,51
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,0,0.10391758300829679,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,1,0.10381995793431997,52
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,2,0.1035227079410106,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,0,0.15041787503287196,52
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,1,0.15028075000736862,52
