configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,compressed,720,1.3215575084657605e-13,0,18251.040409904457,0.09653254097793251,31,tolerance,3,18251.040409904457
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,compressed,720,1.3215575084657605e-13,1,18251.040409904457,0.09598874999210238,31,tolerance,3,18251.040409904457
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,compressed,720,1.3215575084657605e-13,2,18251.040409904457,0.09548987494781613,31,tolerance,3,18251.040409904457
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,clique,720,5.780568287406795e-15,0,18251.04040990215,0.11613837501499802,31,tolerance,3,18251.04040990215
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,clique,720,5.780568287406795e-15,1,18251.04040990215,0.11490312498062849,31,tolerance,3,18251.04040990215
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,clique,720,5.780568287406795e-15,2,18251.04040990215,0.11374045792035758,31,tolerance,3,18251.04040990215
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,compressed,720,9.705100420625097e-14,0,18255.30496612546,0.09655512508470565,32,tolerance,3,18255.30496612546
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,compressed,720,9.705100420625097e-14,1,18255.30496612546,0.0950297920498997,32,tolerance,3,18255.30496612546
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,compressed,720,9.705100420625097e-14,2,18255.30496612546,0.09627733298111707,32,tolerance,3,18255.30496612546
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,clique,720,5.579934533418947e-15,0,18255.30496612379,0.11138191702775657,32,tolerance,3,18255.30496612379
