adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_all_interval_bounds_certified,compressed_interval_bound_evaluations,compressed_maximum_oracle_optimality_gap,compressed_maximum_scaled_oracle_optimality_gap,compressed_multiplier_evaluations,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
1.1970478310227222,1,14401,178584,5.780568287406795e-15,18251.04040990215,0.11490312498062849,2109,0,tolerance,3,0.11538461538461539,True,1,0.0001581407013873104,8.664749944967014e-09,47,1.3215575084657605e-13,18251.040409904457,0.09598874999210238,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s31,6,720,3,31,26
1.1539428706066148,1,14401,178584,5.579934533418947e-15,18255.30496612379,0.11109854199457914,2021,0,tolerance,3,0.11538461538461539,True,1,0.00015892817827989347,8.705862683466563e-09,47,9.705100420625097e-14,18255.30496612546,0.09627733298111707,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s32,6,720,3,32,26
1.1699120982502658,1,14401,178584,1.992871369459594e-15,18254.960469818125,0.11214187496807426,2010,0,tolerance,3,0.11538461538461539,True,1,0.00016003651762730442,8.766741395682516e-09,47,1.3950099586217159e-14,18254.960469818343,0.09585495793726295,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s33,6,720,3,33,26
5.702412144505394,7,87646,1092156,3.3663153240997916e-07,15799.10366309857,0.5202234589960426,10160,3,tolerance,12,0.46153846153846156,True,1,0.00015737566536699887,9.961411674031531e-09,48,2.394841709060094e-14,15798.530420870218,0.09122866706456989,0,tolerance,3,0.11538461538461539,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s31,6,720,3,31,26
1.4784506746997548,7,87618,1091820,9.45377129547708e-15,15777.664311215744,0.4986839999910444,9338,3,tolerance,12,0.46153846153846156,True,7,0.00015753452498756815,9.996692813405411e-09,337,2.4787327177165514e-13,15777.52691797798,0.3373017500853166,3,tolerance,12,0.46153846153846156,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s32,6,720,3,32,26
1.549743791975007,7,87642,1092108,1.0018444900768094e-14,15796.253483039973,0.5212365000043064,10075,3,tolerance,12,0.46153846153846156,True,7,9.79995311354287e-05,6.282277388243278e-09,343,8.855384055966281e-14,15796.072112586122,0.3363372079329565,3,tolerance,12,0.46153846153846156,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s33,6,720,3,33,26
1.093128318591645,1,14401,178584,0.0,13449.870223142174,0.09961933398153633,1616,0,tolerance,3,0.11538461538461539,True,1,0.0001232279319083318,9.162016425725666e-09,48,1.9285530985966548e-13,13449.870223144868,0.09113233303651214,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s31,6,720,3,31,26
1.018993922239098,1,14401,178584,0.0,13494.928432484943,0.09334825002588332,1366,0,tolerance,3,0.11538461538461539,True,1,0.00011763286420318764,8.716820158893777e-09,48,6.238108635941865e-13,13494.928432493442,0.09160825004801154,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s32,6,720,3,32,26
1.0294291075600868,1,14401,178584,0.0,13456.652902150274,0.09433075005654246,1409,0,tolerance,3,0.11538461538461539,True,1,0.00012013430568913464,8.927502742521834e-09,48,1.8897323165337366e-13,13456.652902152926,0.09163404197897762,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s33,6,720,3,33,26
3.8695589146559835,5,65702,817284,9.631669164328417e-07,17257.712624078904,0.4087763340212405,8252,2,tolerance,9,0.002499305748403221,True,1,0.00012845710807596333,7.443471359022122e-09,48,9.631670658925737e-07,17257.688231749875,0.1056389999575913,0,tolerance,3,0.0008331019161344071,sparse_budget,many_breakpoints,0.0,1,many_breakpoints_n720_m6_g1_s31,6,720,3,31,3601
